qid	pid	score
Q0	C0	1
Q3	C3	1
Q4	C6	1
Q5	C7	1
Q6	C8	1
Q7	C9	1
Q8	C10	1
Q9	C11	1
Q10	C12	1
Q11	C13	1
Q12	C14	1
Q13	C15	1
Q14	C16	1
Q15	C17	1
Q16	C18	1
Q17	C19	1
Q18	C20	1
Q19	C21	1
Q20	C22	1
Q21	C22	1
Q22	C22	1
Q23	C22	1
Q24	C23	1
Q25	C24	1
Q27	C26	1
Q28	C27	1
Q29	C28	1
Q31	C30	1
Q33	C32	1
Q34	C33	1
Q35	C34	1
Q36	C35	1
Q37	C36	1
Q38	C37	1
Q39	C38	1
Q40	C39	1
Q41	C40	1
Q43	C42	1
Q44	C43	1
Q45	C44	1
Q46	C45	1
Q47	C46	1
Q49	C48	1
Q50	C49	1
Q51	C50	1
Q52	C17	1
Q53	C51	1
Q54	C52	1
Q55	C53	1
Q56	C54	1
Q57	C55	1
Q60	C58	1
Q61	C59	1
Q62	C60	1
Q63	C61	1
Q64	C62	1
Q65	C63	1
Q66	C64	1
Q67	C65	1
Q68	C66	1
Q69	C67	1
Q70	C68	1
Q71	C69	1
Q72	C70	1
Q73	C71	1
Q74	C72	1
Q75	C73	1
Q76	C74	1
Q77	C75	1
Q78	C76	1
Q79	C77	1
Q80	C78	1
Q81	C79	1
Q82	C80	1
Q83	C81	1
Q84	C82	1
Q85	C83	1
Q86	C84	1
Q87	C85	1
Q89	C87	1
Q91	C89	1
Q92	C90	1
Q93	C91	1
Q94	C92	1
Q95	C93	1
Q96	C94	1
Q99	C97	1
Q100	C98	1
Q101	C99	1
Q102	C100	1
Q103	C101	1
Q104	C102	1
Q105	C103	1
Q106	C104	1
Q107	C105	1
Q108	C106	1
Q109	C107	1
Q110	C108	1
Q111	C109	1
Q112	C110	1
Q113	C111	1
Q114	C112	1
Q115	C113	1
Q117	C115	1
Q118	C116	1
Q119	C117	1
Q121	C119	1
Q122	C120	1
Q123	C121	1
Q124	C122	1
Q125	C123	1
Q126	C124	1
Q127	C125	1
Q128	C126	1
Q129	C127	1
Q130	C128	1
Q131	C129	1
Q132	C130	1
Q133	C131	1
Q134	C132	1
Q136	C134	1
Q137	C135	1
Q139	C137	1
Q140	C138	1
Q143	C141	1
Q144	C142	1
Q145	C143	1
Q146	C144	1
Q147	C145	1
Q148	C146	1
Q149	C147	1
Q150	C148	1
Q151	C149	1
Q152	C150	1
Q153	C151	1
Q154	C152	1
Q156	C154	1
Q158	C156	1
Q159	C157	1
Q162	C160	1
Q163	C161	1
Q164	C162	1
Q165	C163	1
Q166	C164	1
Q167	C165	1
Q168	C166	1
Q170	C170	1
Q171	C171	1
Q172	C172	1
Q173	C173	1
Q176	C177	1
Q177	C178	1
Q178	C179	1
Q179	C180	1
Q180	C181	1
Q181	C182	1
Q182	C183	1
Q183	C184	1
Q184	C185	1
Q185	C186	1
Q186	C187	1
Q187	C188	1
Q188	C189	1
Q189	C191	1
Q190	C192	1
Q191	C193	1
Q192	C194	1
Q194	C196	1
Q195	C197	1
Q196	C198	1
Q197	C199	1
Q198	C200	1
Q199	C201	1
Q200	C202	1
Q201	C203	1
Q202	C204	1
Q204	C206	1
Q205	C207	1
Q206	C209	1
Q207	C210	1
Q208	C211	1
Q209	C212	1
Q210	C213	1
Q211	C214	1
Q212	C215	1
Q213	C216	1
Q214	C217	1
Q215	C218	1
Q216	C219	1
Q217	C220	1
Q218	C221	1
Q219	C222	1
Q220	C223	1
Q221	C224	1
Q222	C225	1
Q223	C226	1
Q224	C227	1
Q225	C228	1
Q226	C229	1
Q227	C230	1
Q228	C231	1
Q230	C233	1
Q231	C234	1
Q232	C235	1
Q233	C236	1
Q234	C237	1
Q235	C238	1
Q236	C239	1
Q237	C240	1
Q238	C241	1
Q239	C242	1
Q240	C243	1
Q241	C244	1
Q242	C245	1
Q243	C246	1
Q244	C247	1
Q245	C248	1
Q246	C249	1
Q249	C252	1
Q250	C253	1
Q252	C255	1
Q253	C256	1
Q255	C258	1
Q256	C259	1
Q257	C260	1
Q258	C261	1
Q259	C262	1
Q260	C263	1
Q261	C265	1
Q264	C268	1
Q266	C270	1
Q267	C271	1
Q268	C272	1
Q269	C273	1
Q270	C274	1
Q271	C275	1
Q272	C276	1
Q273	C277	1
Q274	C278	1
Q275	C279	1
Q276	C280	1
Q277	C281	1
Q278	C282	1
Q279	C283	1
Q280	C284	1
Q281	C285	1
Q282	C286	1
Q284	C288	1
Q285	C289	1
Q286	C290	1
Q287	C291	1
Q288	C292	1
Q289	C293	1
Q291	C295	1
Q292	C296	1
Q293	C297	1
Q294	C298	1
Q295	C299	1
Q296	C300	1
Q298	C302	1
Q299	C303	1
Q300	C304	1
Q301	C305	1
Q302	C306	1
Q305	C309	1
Q306	C310	1
Q307	C311	1
Q308	C312	1
Q309	C313	1
Q310	C315	1
Q311	C316	1
Q312	C317	1
Q313	C318	1
Q314	C319	1
Q315	C320	1
Q316	C321	1
Q317	C322	1
Q318	C323	1
Q319	C324	1
Q320	C325	1
Q321	C326	1
Q322	C327	1
Q323	C328	1
Q324	C329	1
Q325	C330	1
Q326	C331	1
Q327	C332	1
Q328	C333	1
Q329	C334	1
Q330	C335	1
Q331	C336	1
Q332	C337	1
Q333	C338	1
Q334	C339	1
Q335	C340	1
Q336	C341	1
Q337	C342	1
Q338	C343	1
Q339	C344	1
Q340	C345	1
Q341	C346	1
Q342	C347	1
Q343	C348	1
Q344	C349	1
Q346	C351	1
Q348	C353	1
Q349	C354	1
Q351	C356	1
Q352	C357	1
Q353	C358	1
Q355	C360	1
Q356	C361	1
Q358	C363	1
Q359	C364	1
Q360	C365	1
Q361	C366	1
Q362	C367	1
Q364	C369	1
Q365	C370	1
Q366	C371	1
Q367	C372	1
Q368	C373	1
Q369	C374	1
Q370	C375	1
Q371	C376	1
Q372	C377	1
Q373	C378	1
Q374	C379	1
Q376	C381	1
Q377	C382	1
Q378	C383	1
Q379	C384	1
Q380	C385	1
Q381	C386	1
Q382	C387	1
Q383	C388	1
Q384	C389	1
Q385	C390	1
Q386	C391	1
Q387	C392	1
Q388	C393	1
Q389	C394	1
Q390	C395	1
Q391	C396	1
Q392	C397	1
Q393	C398	1
Q394	C399	1
Q395	C400	1
Q396	C401	1
Q397	C402	1
Q398	C403	1
Q399	C404	1
Q400	C405	1
Q401	C406	1
Q402	C407	1
Q403	C408	1
Q404	C409	1
Q405	C410	1
Q406	C411	1
Q407	C412	1
Q409	C414	1
Q410	C415	1
Q411	C416	1
Q412	C417	1
Q413	C418	1
Q414	C419	1
Q415	C420	1
Q416	C421	1
Q418	C423	1
Q420	C425	1
Q421	C426	1
Q422	C427	1
Q425	C430	1
Q426	C431	1
Q427	C432	1
Q428	C433	1
Q429	C434	1
Q430	C435	1
Q431	C436	1
Q432	C437	1
Q433	C440	1
Q434	C441	1
Q435	C442	1
Q436	C443	1
Q437	C444	1
Q438	C445	1
Q439	C446	1
Q440	C447	1
Q441	C448	1
Q442	C449	1
Q443	C450	1
Q444	C451	1
Q445	C452	1
Q446	C453	1
Q447	C454	1
Q448	C455	1
Q449	C456	1
Q450	C457	1
Q451	C458	1
Q453	C460	1
Q454	C461	1
Q455	C462	1
Q456	C463	1
Q457	C464	1
Q458	C465	1
Q459	C466	1
Q461	C468	1
Q462	C469	1
Q463	C470	1
Q464	C471	1
Q465	C472	1
Q466	C473	1
Q467	C474	1
Q468	C475	1
Q469	C476	1
Q470	C477	1
Q471	C478	1
Q472	C479	1
Q473	C480	1
Q474	C482	1
Q475	C483	1
Q476	C484	1
Q477	C485	1
Q478	C486	1
Q479	C487	1
Q480	C488	1
Q481	C489	1
Q483	C491	1
Q484	C492	1
Q485	C493	1
Q486	C494	1
Q489	C497	1
Q491	C499	1
Q492	C500	1
Q493	C501	1
Q494	C502	1
Q495	C503	1
Q496	C504	1
Q497	C505	1
Q498	C506	1
Q499	C507	1
Q500	C508	1
Q501	C509	1
Q502	C510	1
Q503	C511	1
Q504	C512	1
Q505	C513	1
Q506	C514	1
Q507	C515	1
Q508	C516	1
Q509	C517	1
Q512	C520	1
Q513	C521	1
Q514	C522	1
Q515	C523	1
Q516	C524	1
Q517	C526	1
Q518	C527	1
Q519	C528	1
Q520	C529	1
Q521	C530	1
Q522	C531	1
Q524	C533	1
Q525	C534	1
Q526	C535	1
Q527	C536	1
Q528	C537	1
Q529	C538	1
Q530	C539	1
Q531	C540	1
Q532	C541	1
Q533	C542	1
Q534	C543	1
Q535	C544	1
Q536	C545	1
Q538	C547	1
Q539	C548	1
Q540	C549	1
Q541	C550	1
Q542	C551	1
Q543	C552	1
Q544	C553	1
Q545	C554	1
Q546	C555	1
Q547	C556	1
Q548	C557	1
Q549	C558	1
Q550	C559	1
Q551	C560	1
Q552	C561	1
Q554	C563	1
Q555	C564	1
Q556	C565	1
Q557	C566	1
Q558	C567	1
Q559	C568	1
Q560	C569	1
Q561	C570	1
Q562	C571	1
Q563	C572	1
Q564	C573	1
Q565	C574	1
Q566	C575	1
Q567	C576	1
Q568	C577	1
Q569	C578	1
Q570	C579	1
Q571	C580	1
Q572	C581	1
Q573	C22	1
Q574	C582	1
Q576	C584	1
Q577	C585	1
Q578	C587	1
Q579	C588	1
Q580	C589	1
Q581	C590	1
Q582	C591	1
Q583	C592	1
Q584	C593	1
Q585	C594	1
Q586	C595	1
Q587	C596	1
Q588	C597	1
Q589	C598	1
Q590	C599	1
Q591	C600	1
Q592	C601	1
Q593	C603	1
Q594	C604	1
Q595	C605	1
Q596	C606	1
Q597	C607	1
Q600	C610	1
Q601	C611	1
Q602	C612	1
Q603	C613	1
Q604	C614	1
Q605	C615	1
Q606	C616	1
Q607	C617	1
Q608	C618	1
Q610	C620	1
Q611	C621	1
Q612	C622	1
Q613	C623	1
Q614	C624	1
Q615	C625	1
Q616	C626	1
Q617	C627	1
Q619	C629	1
Q620	C630	1
Q621	C631	1
Q624	C634	1
Q625	C635	1
Q626	C636	1
Q627	C637	1
Q628	C638	1
Q630	C640	1
Q631	C641	1
Q632	C642	1
Q633	C643	1
Q635	C645	1
Q636	C646	1
Q637	C647	1
Q638	C648	1
Q639	C649	1
Q641	C652	1
Q642	C653	1
Q644	C655	1
Q645	C656	1
Q647	C658	1
Q648	C659	1
Q649	C660	1
Q650	C661	1
Q651	C662	1
Q652	C663	1
Q653	C664	1
Q654	C665	1
Q655	C666	1
Q656	C667	1
Q657	C669	1
Q658	C670	1
Q659	C671	1
Q660	C672	1
Q661	C673	1
Q662	C674	1
Q663	C675	1
Q664	C676	1
Q665	C677	1
Q666	C678	1
Q667	C679	1
Q668	C680	1
Q669	C681	1
Q670	C682	1
Q671	C683	1
Q672	C684	1
Q673	C685	1
Q674	C686	1
Q675	C687	1
Q676	C688	1
Q677	C689	1
Q678	C690	1
Q679	C691	1
Q680	C692	1
Q681	C693	1
Q682	C694	1
Q683	C695	1
Q684	C696	1
Q685	C697	1
Q686	C698	1
Q687	C699	1
Q688	C700	1
Q689	C701	1
Q690	C702	1
Q691	C703	1
Q692	C704	1
Q693	C705	1
Q694	C706	1
Q695	C707	1
Q696	C708	1
Q698	C710	1
Q699	C711	1
Q700	C712	1
Q701	C713	1
Q702	C715	1
Q703	C716	1
Q704	C717	1
Q705	C718	1
Q706	C719	1
Q707	C720	1
Q708	C721	1
Q709	C722	1
Q710	C723	1
Q711	C724	1
Q712	C725	1
Q713	C726	1
Q714	C727	1
Q715	C728	1
Q716	C729	1
Q717	C730	1
Q719	C732	1
Q720	C733	1
Q721	C734	1
Q722	C735	1
Q723	C736	1
Q724	C737	1
Q725	C738	1
Q728	C741	1
Q729	C742	1
Q730	C743	1
Q731	C744	1
Q732	C745	1
Q734	C747	1
Q735	C748	1
Q739	C749	1
Q740	C607	1
Q741	C750	1
Q742	C751	1
Q743	C753	1
Q744	C754	1
Q745	C755	1
Q748	C758	1
Q749	C759	1
Q751	C761	1
Q752	C762	1
Q754	C764	1
Q757	C767	1
Q758	C768	1
Q759	C769	1
Q760	C772	1
Q762	C774	1
Q763	C775	1
Q764	C776	1
Q765	C777	1
Q766	C778	1
Q767	C779	1
Q768	C780	1
Q769	C781	1
Q771	C783	1
Q772	C784	1
Q773	C785	1
Q774	C786	1
Q775	C787	1
Q776	C788	1
Q777	C789	1
Q778	C790	1
Q779	C791	1
Q780	C792	1
Q781	C793	1
Q782	C794	1
Q783	C795	1
Q784	C796	1
Q785	C797	1
Q786	C798	1
Q787	C799	1
Q788	C800	1
Q789	C801	1
Q790	C802	1
Q791	C803	1
Q792	C804	1
Q793	C805	1
Q794	C806	1
Q795	C807	1
Q797	C809	1
Q798	C810	1
Q799	C811	1
Q800	C812	1
Q801	C813	1
Q802	C814	1
Q803	C815	1
Q804	C816	1
Q805	C817	1
Q806	C818	1
Q808	C820	1
Q809	C821	1
Q810	C822	1
Q811	C823	1
Q812	C824	1
Q813	C825	1
Q814	C826	1
Q816	C828	1
Q817	C830	1
Q818	C831	1
Q820	C833	1
Q821	C834	1
Q822	C835	1
Q823	C836	1
Q824	C837	1
Q825	C838	1
Q826	C839	1
Q827	C840	1
Q828	C841	1
Q829	C842	1
Q830	C843	1
Q831	C844	1
Q832	C845	1
Q833	C846	1
Q834	C847	1
Q835	C848	1
Q836	C849	1
Q837	C850	1
Q838	C851	1
Q841	C854	1
Q842	C855	1
Q843	C856	1
Q845	C858	1
Q846	C859	1
Q847	C860	1
Q849	C861	1
Q850	C862	1
Q851	C863	1
Q852	C864	1
Q853	C865	1
Q854	C866	1
Q855	C868	1
Q856	C869	1
Q858	C871	1
Q859	C872	1
Q860	C873	1
Q861	C874	1
Q863	C876	1
Q864	C877	1
Q865	C878	1
Q866	C879	1
Q867	C880	1
Q868	C881	1
Q869	C882	1
Q872	C885	1
Q873	C886	1
Q874	C767	1
Q875	C887	1
Q876	C888	1
Q877	C889	1
Q878	C890	1
Q879	C891	1
Q880	C892	1
Q881	C893	1
Q883	C895	1
Q884	C896	1
Q885	C897	1
Q886	C898	1
Q887	C899	1
Q889	C901	1
Q890	C902	1
Q891	C903	1
Q892	C904	1
Q893	C905	1
Q894	C906	1
Q895	C907	1
Q897	C909	1
Q898	C910	1
Q899	C911	1
Q900	C912	1
Q901	C913	1
Q902	C914	1
Q903	C915	1
Q904	C916	1
Q905	C917	1
Q906	C918	1
Q907	C919	1
Q908	C920	1
Q909	C921	1
Q910	C922	1
Q911	C923	1
Q913	C925	1
Q914	C926	1
Q916	C928	1
Q917	C929	1
Q918	C930	1
Q919	C931	1
Q920	C932	1
Q921	C933	1
Q922	C934	1
Q923	C935	1
Q925	C937	1
Q926	C938	1
Q927	C939	1
Q928	C940	1
Q929	C936	1
Q930	C941	1
Q931	C942	1
Q932	C943	1
Q934	C945	1
Q935	C946	1
Q936	C947	1
Q937	C948	1
Q938	C948	1
Q939	C948	1
Q940	C948	1
Q941	C949	1
Q942	C950	1
Q943	C951	1
Q944	C952	1
Q945	C953	1
Q946	C954	1
Q947	C955	1
Q948	C956	1
Q950	C936	1
Q951	C957	1
Q952	C958	1
Q953	C959	1
Q954	C960	1
Q955	C961	1
Q956	C962	1
Q958	C964	1
Q960	C966	1
Q961	C967	1
Q962	C968	1
Q963	C969	1
Q964	C970	1
Q965	C971	1
Q967	C973	1
Q968	C974	1
Q969	C975	1
Q970	C976	1
Q972	C978	1
Q974	C980	1
Q975	C981	1
Q976	C982	1
Q978	C984	1
Q979	C985	1
Q980	C986	1
Q982	C990	1
Q983	C991	1
Q984	C992	1
Q985	C993	1
Q986	C994	1
Q987	C995	1
Q988	C996	1
Q989	C997	1
Q990	C998	1
Q991	C999	1
Q992	C1000	1
Q993	C1001	1
Q994	C1002	1
Q995	C1004	1
Q996	C1005	1
Q997	C1006	1
Q998	C1007	1
Q999	C1008	1
Q1000	C1009	1
Q1001	C1010	1
Q1002	C1011	1
Q1004	C1013	1
Q1005	C1014	1
Q1006	C1015	1
Q1007	C1016	1
Q1008	C1017	1
Q1009	C1019	1
Q1010	C1020	1
Q1011	C1021	1
Q1012	C1022	1
Q1013	C1023	1
Q1014	C1024	1
Q1015	C1026	1
Q1016	C1027	1
Q1017	C1028	1
Q1018	C1029	1
Q1020	C1031	1
Q1021	C1032	1
Q1022	C1035	1
Q1023	C1036	1
Q1025	C1038	1
Q1026	C1039	1
Q1027	C1040	1
Q1028	C1041	1
Q1029	C1042	1
Q1031	C1044	1
Q1032	C1045	1
Q1033	C1046	1
Q1034	C1047	1
Q1036	C1049	1
Q1037	C1050	1
Q1038	C1051	1
Q1039	C1052	1
Q1040	C1053	1
Q1041	C1054	1
Q1042	C1055	1
Q1043	C1056	1
Q1044	C1057	1
Q1045	C1058	1
Q1046	C1059	1
Q1047	C1060	1
Q1048	C1061	1
Q1049	C1062	1
Q1050	C1063	1
Q1051	C1064	1
Q1052	C1065	1
Q1053	C1066	1
Q1054	C1067	1
Q1055	C1068	1
Q1056	C1069	1
Q1057	C1070	1
Q1058	C1071	1
Q1059	C1072	1
Q1060	C1073	1
Q1061	C1074	1
Q1062	C1075	1
Q1063	C1076	1
Q1064	C1077	1
Q1065	C1078	1
Q1066	C1079	1
Q1067	C1080	1
Q1068	C1081	1
Q1069	C1082	1
Q1070	C1083	1
Q1071	C1084	1
Q1072	C1085	1
Q1073	C1086	1
Q1076	C1089	1
Q1077	C1090	1
Q1078	C1091	1
Q1079	C1092	1
Q1080	C1093	1
Q1082	C1095	1
Q1084	C1097	1
Q1085	C1098	1
Q1086	C1099	1
Q1087	C1100	1
Q1088	C1101	1
Q1089	C1102	1
Q1091	C1104	1
Q1092	C1105	1
Q1093	C1106	1
Q1095	C1108	1
Q1096	C1109	1
Q1097	C1112	1
Q1099	C1114	1
Q1101	C1116	1
Q1102	C1117	1
Q1103	C1118	1
Q1104	C1119	1
Q1105	C1120	1
Q1106	C1121	1
Q1107	C1122	1
Q1108	C1123	1
Q1110	C1126	1
Q1111	C1127	1
Q1112	C1128	1
Q1114	C1130	1
Q1115	C1131	1
Q1116	C1132	1
Q1117	C1133	1
Q1118	C1134	1
Q1119	C1135	1
Q1121	C1137	1
Q1123	C1139	1
Q1124	C1140	1
Q1125	C1141	1
Q1126	C1142	1
Q1127	C1143	1
Q1128	C1144	1
Q1129	C1145	1
Q1130	C1146	1
Q1132	C1148	1
Q1133	C1149	1
Q1134	C1150	1
Q1135	C1151	1
Q1136	C1152	1
Q1138	C1154	1
Q1139	C1156	1
Q1141	C1158	1
Q1142	C1159	1
Q1143	C1160	1
Q1144	C1161	1
Q1145	C1162	1
Q1146	C1163	1
Q1147	C1164	1
Q1149	C1166	1
Q1150	C1167	1
Q1151	C1168	1
Q1152	C1169	1
Q1153	C1170	1
Q1154	C1171	1
Q1155	C1172	1
Q1156	C1173	1
Q1157	C1174	1
Q1158	C1175	1
Q1159	C1176	1
Q1161	C1178	1
Q1162	C1179	1
Q1163	C1180	1
Q1164	C1181	1
Q1165	C1182	1
Q1166	C1183	1
Q1167	C1184	1
Q1168	C1185	1
Q1169	C1186	1
Q1170	C1187	1
Q1171	C1188	1
Q1172	C1189	1
Q1173	C1190	1
Q1174	C1191	1
Q1175	C1192	1
Q1176	C1193	1
Q1177	C1194	1
Q1179	C1196	1
Q1180	C1197	1
Q1181	C1198	1
Q1182	C1199	1
Q1183	C1200	1
Q1184	C1201	1
Q1185	C1202	1
Q1186	C1203	1
Q1187	C1204	1
Q1188	C1205	1
Q1189	C1206	1
Q1190	C1207	1
Q1191	C1208	1
Q1192	C1209	1
Q1193	C1210	1
Q1194	C1211	1
Q1195	C1212	1
Q1196	C1213	1
Q1197	C1215	1
Q1198	C1216	1
Q1199	C1217	1
Q1201	C1219	1
Q1202	C1220	1
Q1203	C1221	1
Q1204	C1222	1
Q1205	C1223	1
Q1206	C1224	1
Q1209	C1227	1
Q1210	C1228	1
Q1211	C1229	1
Q1212	C1230	1
Q1213	C1231	1
Q1214	C1232	1
Q1215	C1233	1
Q1216	C1234	1
Q1217	C1235	1
Q1219	C1237	1
Q1220	C1238	1
Q1221	C1239	1
Q1222	C1240	1
Q1223	C1241	1
Q1224	C1242	1
Q1225	C1243	1
Q1226	C1244	1
Q1227	C1245	1
Q1228	C1246	1
Q1229	C1247	1
Q1230	C1249	1
Q1231	C1251	1
Q1232	C1252	1
Q1233	C1253	1
Q1234	C1254	1
Q1235	C1255	1
Q1236	C1256	1
Q1237	C1257	1
Q1239	C1259	1
Q1240	C1260	1
Q1241	C1261	1
Q1242	C1262	1
Q1243	C1263	1
Q1244	C1264	1
Q1245	C1265	1
Q1247	C1267	1
Q1248	C1268	1
Q1249	C1269	1
Q1250	C1270	1
Q1251	C1271	1
Q1252	C1272	1
Q1253	C1273	1
Q1254	C1274	1
Q1255	C1275	1
Q1257	C1279	1
Q1258	C1280	1
Q1259	C1281	1
Q1260	C1282	1
Q1261	C1284	1
Q1263	C1286	1
Q1264	C1287	1
Q1265	C1289	1
Q1266	C1290	1
Q1267	C1291	1
Q1268	C1292	1
Q1269	C1294	1
Q1270	C1295	1
Q1271	C1296	1
Q1272	C1297	1
Q1273	C1298	1
Q1274	C1299	1
Q1275	C1300	1
Q1276	C1301	1
Q1278	C1303	1
Q1279	C1304	1
Q1280	C1305	1
Q1281	C1306	1
Q1283	C1308	1
Q1284	C1309	1
Q1285	C1310	1
Q1286	C1311	1
Q1289	C1314	1
Q1290	C1315	1
Q1291	C1316	1
Q1292	C1317	1
Q1293	C1318	1
Q1294	C1319	1
Q1295	C1320	1
Q1297	C1322	1
Q1298	C1323	1
Q1299	C1324	1
Q1301	C1326	1
Q1302	C1327	1
Q1303	C1328	1
Q1304	C1329	1
Q1306	C1330	1
Q1307	C1331	1
Q1309	C1333	1
Q1310	C1334	1
Q1311	C1335	1
Q1312	C1336	1
Q1314	C1338	1
Q1316	C1340	1
Q1317	C1341	1
Q1318	C1342	1
Q1319	C1343	1
Q1320	C1345	1
Q1321	C1346	1
Q1322	C1347	1
Q1323	C1348	1
Q1324	C1349	1
Q1325	C1350	1
