qid	pid	score
Q32	C31	1
Q42	C41	1
Q58	C56	1
Q59	C57	1
Q90	C88	1
Q98	C96	1
Q120	C118	1
Q141	C139	1
Q142	C140	1
Q155	C153	1
Q160	C158	1
Q174	C174	1
Q175	C175	1
Q193	C195	1
Q203	C205	1
Q229	C232	1
Q247	C250	1
Q251	C254	1
Q262	C266	1
Q263	C267	1
Q265	C269	1
Q283	C287	1
Q290	C294	1
Q297	C301	1
Q304	C308	1
Q345	C350	1
Q350	C355	1
Q354	C359	1
Q357	C362	1
Q375	C380	1
Q419	C424	1
Q452	C459	1
Q460	C467	1
Q482	C490	1
Q490	C498	1
Q510	C518	1
Q511	C519	1
Q523	C532	1
Q537	C546	1
Q553	C562	1
Q575	C583	1
Q599	C609	1
Q609	C619	1
Q629	C639	1
Q643	C654	1
Q646	C657	1
Q697	C709	1
Q726	C739	1
Q736	C731	1
Q747	C757	1
Q750	C760	1
Q753	C763	1
Q755	C765	1
Q770	C782	1
Q796	C808	1
Q807	C819	1
Q815	C827	1
Q819	C832	1
Q839	C852	1
Q840	C853	1
Q844	C857	1
Q857	C870	1
Q871	C884	1
Q882	C894	1
Q888	C900	1
Q912	C924	1
Q933	C944	1
Q959	C965	1
Q966	C972	1
Q977	C983	1
Q1003	C1012	1
Q1019	C1030	1
Q1030	C1043	1
Q1074	C1087	1
Q1081	C1094	1
Q1090	C1103	1
Q1094	C1107	1
Q1098	C1113	1
Q1100	C1115	1
Q1109	C1124	1
Q1113	C1129	1
Q1120	C1136	1
Q1122	C1138	1
Q1137	C1153	1
Q1178	C1195	1
Q1200	C1218	1
Q1208	C1226	1
Q1218	C1236	1
Q1238	C1258	1
Q1246	C1266	1
Q1256	C1278	1
Q1287	C1312	1
Q1288	C1313	1
Q1296	C1321	1
Q1300	C1325	1
Q1308	C1332	1
Q1339	C1364	1
Q1354	C1376	1
Q1384	C1406	1
Q1424	C1447	1
Q1427	C1450	1
Q1428	C1451	1
Q1442	C1465	1
Q1468	C1491	1
Q1482	C1505	1
Q1488	C1511	1
Q1496	C1519	1
Q1498	C1521	1
Q1500	C1523	1
Q1514	C1537	1
Q1527	C1552	1
Q1546	C1573	1
Q1550	C1577	1
Q1557	C1584	1
Q1559	C1586	1
Q1561	C1588	1
Q1569	C1596	1
Q1603	C1630	1
Q1616	C1644	1
Q1634	C1664	1
Q1644	C1675	1
Q1647	C1678	1
Q1655	C1093	1
Q1660	C1689	1
Q1661	C1690	1
Q1684	C1712	1
Q1700	C1728	1
Q1716	C1741	1
Q1733	C1758	1
Q1742	C1767	1
Q1746	C1771	1
Q1787	C1813	1
Q1793	C1819	1
Q1805	C1831	1
Q1810	C1836	1
Q1815	C1841	1
Q1823	C1849	1
Q1824	C1850	1
Q1830	C1856	1
Q1841	C1867	1
Q1844	C1870	1
Q1852	C1879	1
Q1860	C1888	1
Q1861	C1889	1
Q1862	C1890	1
Q1873	C1901	1
Q1908	C1935	1
Q1919	C1947	1
Q1924	C1952	1
Q1943	C1971	1
Q1944	C1972	1
Q1955	C1983	1
Q1958	C1986	1
Q1973	C2001	1
Q1977	C2005	1
Q2004	C2031	1
Q2025	C2053	1
Q2027	C2054	1
Q2035	C2062	1
Q2050	C159	1
Q2053	C2080	1
Q2105	C2134	1
Q2167	C2195	1
Q2192	C2224	1
Q2203	C2233	1
Q2205	C2236	1
Q2211	C2242	1
Q2213	C2244	1
Q2216	C2247	1
Q2254	C2287	1
Q2279	C2316	1
Q2335	C2372	1
Q2341	C2378	1
Q2347	C2384	1
Q2351	C2388	1
Q2363	C2399	1
Q2388	C2426	1
Q2398	C2436	1
Q2418	C2457	1
Q2427	C2465	1
Q2432	C2470	1
Q2467	C2505	1
Q2469	C2507	1
Q2526	C2565	1
Q2535	C2574	1
Q2545	C2584	1
Q2562	C2602	1
Q2564	C2604	1
Q2581	C2620	1
Q2603	C2644	1
Q2609	C2650	1
Q2613	C2654	1
Q2633	C2674	1
Q2649	C2690	1
Q2653	C2694	1
Q2689	C2733	1
Q2692	C2736	1
Q2710	C2754	1
Q2743	C2786	1
Q2765	C2809	1
Q2766	C2810	1
Q2773	C2817	1
Q2784	C2828	1
Q2823	C2867	1
Q2844	C2886	1
Q2853	C2895	1
Q2872	C2913	1
Q2874	C2916	1
Q2876	C2918	1
Q2881	C2923	1
Q2883	C2925	1
Q2887	C2929	1
Q2888	C2930	1
Q2894	C2936	1
Q2899	C2941	1
Q2901	C2943	1
Q2913	C2956	1
Q2919	C2961	1
Q2924	C2966	1
Q2942	C2986	1
Q2957	C3002	1
Q2976	C3021	1
Q2993	C3038	1
Q3004	C3050	1
Q3014	C3060	1
Q3024	C3070	1
Q3038	C3084	1
Q3070	C3116	1
Q3071	C3117	1
Q3075	C3121	1
Q3081	C3128	1
Q3103	C3150	1
Q3141	C3187	1
Q3146	C3192	1
Q3165	C3212	1
Q3169	C3216	1
Q3194	C3241	1
Q3238	C3286	1
Q3245	C3293	1
Q3266	C3315	1
Q3271	C3320	1
Q3284	C3333	1
Q3307	C3358	1
Q3368	C3421	1
Q3375	C3428	1
Q3405	C3458	1
Q3411	C3464	1
Q3413	C3466	1
Q3414	C3467	1
Q3428	C3481	1
Q3445	C3498	1
Q3466	C3519	1
Q3485	C3539	1
Q3488	C3542	1
Q3494	C3548	1
Q3496	C3549	1
Q3504	C3556	1
Q3548	C3598	1
Q3554	C3604	1
Q3562	C3612	1
Q3569	C3619	1
Q3606	C3657	1
Q3665	C3715	1
Q3671	C3721	1
Q3679	C3729	1
Q3686	C3736	1
Q3698	C3748	1
Q3772	C3820	1
Q3776	C3823	1
Q3781	C3828	1
Q3793	C3840	1
Q3796	C3843	1
Q3826	C3873	1
Q3830	C3877	1
Q3854	C3900	1
Q3874	C3919	1
Q3880	C3925	1
Q3888	C3933	1
Q3890	C3935	1
Q3903	C3948	1
Q3907	C3952	1
Q3915	C3960	1
Q3921	C3967	1
Q3927	C3972	1
Q3929	C3974	1
Q3971	C4016	1
Q3984	C4029	1
Q3985	C4030	1
Q4008	C4052	1
Q4082	C4127	1
Q4084	C4129	1
Q4110	C4155	1
Q4132	C4177	1
Q4139	C4184	1
Q4146	C4191	1
Q4166	C4211	1
Q4173	C4218	1
Q4188	C4237	1
Q4191	C4240	1
Q4197	C4246	1
Q4228	C4278	1
Q4232	C4282	1
Q4280	C4334	1
